Topics
"['night', 'come', 'go', 'know', 'sleep', 'hear', 'wind', 'day', 'little', 'dream', 'sing', 'light', 'white', 'long', 'love', 'say', 'old', 'song', 'see', 'moon']"
"['water', 'sea', 'wind', 'white', 'sky', 'light', 'blue', 'green', 'tree', 'black', 'come', 'sun', 'river', 'stone', 'leave', 'eye', 'go', 'fall', 'dark', 'rock']"
"['poetry', 'say', 'know', 'think', 'poet', 'make', 'world', 'people', 'live', 'die', 'word', 'even', 'love', 'death', 'us', 'life', 'could', 'dead', 'never', 'four_poems']"
"['shall', 'god', 'thy', 'thee', 'may', 'love', 'verse', 'men', 'thou', 'man', 'lord', 'make', 'yet', 'king', 'upon', 'come', 'e', 'heart', 'see', 'fair']"
"['us', 'beggar', 'faintly', 'blue', 'color', 'world', 'water', 'see', 'eye', 'time', 'sea', 'sky', 'pebbles', 'light', 'mould', 'soundless', 'black', 'earth', 'leave', 'harry']"
"['verse', 'poetry_magazine', 'flower', 'upon', 'eye', 'sun', 'wind', 'earth', 'tree', 'leave', 'shall', 'green', 'sky', 'rise', 'hill', 'fire', 'star', 'spring', 'flame', 'light']"
"['light', 'flute', 'music', 'bird', 'note', 'eye', 'air', 'poetry', 'blue', 'horn', 'drowsy', 'silver', 'sing', 'shadow', 'pattern', 'string', 'maid', 'candle', 'sun', 'tree']"
"['body', 'eye', 'hand', 'know', 'word', 'love', 'face', 'touch', 'heart', 'nothing', 'make', 'flesh', 'see', 'hold', 'move', 'finger', 'world', 'light', 'mouth', 'blood']"
"['room', 'light', 'wall', 'see', 'eye', 'air', 'even', 'think', 'mind', 'space', 'face', 'night', 'paint', 'window', 'mirror', 'feel', 'poetry', 'dark', 'open', 'look']"
"['man', 'old', 'say', 'black', 'town', 'back', 'dead', 'little', 'men', 'white', 'go', 'get', 'gun', 'three', 'come', 'street', 'verse', 'home', 'big', 'boy']"
"['father', 'say', 'mother', 'never', 'name', 'children', 'know', 'old', 'go', 'war', 'men', 'tell', 'wife', 'die', 'make', 'time', 'love', 'son', 'face', 'leave']"
"['love', 'heart', 'life', 'death', 'give', 'soul', 'make', 'eye', 'upon', 'come', 'man', 'go', 'song', 'let', 'beauty', 'take', 'world', 'day', 'know', 'verse']"
"['go', 'say', 'think', 'get', 'look', 'come', 'know', 'little', 'take', 'would', 'time', 'see', 'two', 'make', 'day', 'sit', 'way', 'could', 'people', 'back']"
"['know', 'verse', 'say', 'would', 'time', 'see', 'go', 'come', 'life', 'make', 'word', 'love', 'think', 'man', 'must', 'yet', 'things', 'poems', 'find', 'never']"
"['hand', 'eye', 'would', 'back', 'hair', 'go', 'old', 'come', 'room', 'leave', 'head', 'face', 'mother', 'finger', 'bed', 'hold', 'long', 'could', 'time', 'little']"
